Customer_id,Terminal DateTime,TranType,Term  Seq.,Response,Issuer,amount_requested,amount_dispensed,fee_requested,fee_charged
7153195435530621939,07/13/20 16:53:39,W/D,649.0,Liable,PUL,40,40,3.00,3.00
3617705962654528737,07/13/20 18:02:29,STL,,Approved,,,,0.00,0.00
7929763781525975567,07/31/20 01:04:06,W/D,746.0,Liable,MS0,140,140,3.00,3.00
3617705962654528737,07/31/20 12:28:46,STL,,Approved,,,,0.00,0.00
3617705962654528737,08/07/20 18:41:10,STL,,Approved,,,,0.00,0.00
3617705962654528737,08/28/20 15:27:40,STL,,Approved,,,,0.00,0.00
3617705962654528737,09/10/20 14:42:02,STL,,Approved,,,,0.00,0.00
3617705962654528737,10/20/20 16:47:47,STL,,Approved,,,,0.00,0.00
3617705962654528737,10/30/20 18:31:19,STL,,Approved,,,,0.00,0.00
3617705962654528737,11/06/20 14:24:33,STL,,Approved,,,,0.00,0.00
3617705962654528737,11/18/20 16:00:46,STL,,Approved,,,,0.00,0.00
3617705962654528737,11/27/20 16:26:49,STL,,Approved,,,,0.00,0.00
1190346791087523935,12/07/20 14:50:37,W/D,1484.0,Approved,SNE,80,80,3.00,3.00
3617705962654528737,12/07/20 18:47:37,STL,,Approved,,,,0.00,0.00
3617705962654528737,12/18/20 18:24:47,STL,,Approved,,,,0.00,0.00
3617705962654528737,01/04/21 15:24:01,STL,,Approved,,,,0.00,0.00
3617705962654528737,01/15/21 18:18:41,STL,,Approved,,,,0.00,0.00
3617705962654528737,01/27/21 14:54:50,STL,,Approved,,,,0.00,0.00
8939855175874044750,02/05/21 11:17:07,W/D,1858.0,EMV,PLS,40,40,3.00,3.00
3617705962654528737,02/05/21 14:24:33,STL,,Approved,,,,0.00,0.00
3617705962654528737,02/19/21 15:47:14,STL,,Approved,,,,0.00,0.00
8939855175874044750,03/09/21 03:27:33,W/D,2036.0,EMV,PLS,40,40,3.00,3.00
3617705962654528737,03/09/21 11:42:35,STL,,Approved,,,,0.00,0.00
3617705962654528737,03/17/21 12:40:24,STL,,Approved,,,,0.00,0.00
76625979443362958,03/21/21 10:48:23,W/D,2161.0,EMV,PUL,100,100,3.00,3.00
3617705962654528737,03/22/21 12:18:45,STL,,Approved,,,,0.00,0.00
2538940131154302329,03/31/21 22:52:52,W/D,2237.0,Approved,CI0,40,40,3.00,3.00
3617705962654528737,04/01/21 12:57:37,STL,,Approved,,,,0.00,0.00
8001376322740549174,04/07/21 11:31:52,W/D,2307.0,EMV,SNE,20,20,3.00,3.00
3617705962654528737,04/13/21 14:48:19,STL,,Approved,,0,0,0.00,0.00
3187606172919100028,04/20/21 00:28:47,W/D,2470.0,EMV,MS0,40,40,3.00,3.00
3617705962654528737,04/20/21 12:15:03,STL,,Approved,,0,0,0.00,0.00
5487848186862550248,05/06/21 16:40:36,W/D,2594.0,EMV,PUL,120,120,3.00,3.00
3617705962654528737,05/07/21 12:17:36,STL,,Approved,,0,0,0.00,0.00
3617705962654528737,05/21/21 16:08:05,STL,,Approved,,0,0,0.00,0.00
3617705962654528737,06/02/21 14:47:33,STL,,Approved,,0,0,0.00,0.00
3617705962654528737,06/10/21 14:51:11,STL,,Approved,,0,0,0.00,0.00
3617705962654528737,06/18/21 16:14:45,STL,,Approved,,0,0,0.00,0.00
3617705962654528737,07/01/21 13:14:39,STL,,Approved,,0,0,0.00,0.00
3617705962654528737,07/12/21 13:26:11,STL,,Approved,,0,0,0.00,0.00
