,Terminal DateTime,TranType,From/To,Amt Req'd,Fee Req'd,Amt Disp.,Fee Amt.,Term  Seq.,Response,Issuer,Current Balance,Customer_id
0,07/13/20 16:53:39,W/D,DDA,$40,$3.00,$40,$3.00,649.0,Liable,PUL,$0.00,7153195435530621939
1,07/13/20 18:02:29,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
2,07/31/20 01:04:06,W/D,DDA,$140,$3.00,$140,$3.00,746.0,Liable,MS0,$0.00,7929763781525975567
3,07/31/20 12:28:46,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
4,08/07/20 18:41:10,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
5,08/28/20 15:27:40,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
6,09/10/20 14:42:02,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
7,10/20/20 16:47:47,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
8,10/30/20 18:31:19,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
9,11/06/20 14:24:33,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
10,11/18/20 16:00:46,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
11,11/27/20 16:26:49,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
12,12/07/20 14:50:37,W/D,SAV,$80,$3.00,$80,$3.00,1484.0,Approved,SNE,$0.00,1190346791087523935
13,12/07/20 18:47:37,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
14,12/18/20 18:24:47,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
15,01/04/21 15:24:01,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
16,01/15/21 18:18:41,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
17,01/27/21 14:54:50,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
18,02/05/21 11:17:07,W/D,DDA,$40,$3.00,$40,$3.00,1858.0,EMV,PLS,$0.00,8939855175874044750
