date, pm25, pm10
2021/8/13, 163, 90
2021/8/14, 181, 
2021/7/19, 62, 38
2021/7/20, 58, 34
2021/7/21, 45, 18
2021/7/22, 29, 34
2021/7/23, 73, 30
2021/7/24, 60, 
2021/6/4, 11, 27
2021/6/5, 14, 11
2021/6/6, 10, 6
2021/6/7, 11, 5
2021/6/8, 12, 13
2021/6/9, 13, 9
2021/6/10, 18, 
2021/6/19, 15, 
2021/6/22, 16, 23
2021/6/23, 26, 14
2021/6/24, 7, 
2021/5/2, 11, 7
2021/5/3, 14, 12
2021/5/4, 15, 17
2021/5/5, 28, 20
2021/5/6, 34, 33
2021/5/7, 30, 22
2021/5/8, 12, 9
2021/5/9, 9, 8
2021/5/10, 11, 
2021/5/17, 21, 30
2021/5/18, 22, 41
2021/5/19, 16, 
2021/5/21, 13, 5
2021/5/22, 19, 6
2021/5/23, 10, 13
2021/5/24, 16, 
2021/4/2, 32, 21
2021/4/3, 34, 18
2021/4/4, 36, 12
2021/4/5, 25, 10
2021/4/6, 20, 18
2021/4/7, 33, 24
2021/4/8, 39, 9
2021/4/9, 16, 11
2021/4/10, 17, 15
2021/4/11, 25, 7
2021/4/12, 20, 13
2021/4/13, 29, 12
2021/4/14, 13, 10
2021/4/15, 15, 12
2021/4/16, 20, 17
2021/4/21, 19, 16
2021/4/22, 25, 23
2021/4/23, 18, 15
2021/4/24, 16, 11
2021/4/25, 22, 4
2021/4/26, 9, 6
2021/4/27, 12, 10
2021/4/28, 15, 12
2021/4/29, 12, 16
2021/4/30, 20, 17
2021/5/1, 19, 10
2021/3/2, 19, 
2021/3/3, 22, 
2021/3/4, 47, 
2021/3/5, 38, 
2021/3/6, 35, 
2021/3/7, 21, 
2021/3/8, 22, 
2021/3/9, 35, 
2021/3/10, 45, 
2021/3/11, 40, 
2021/3/12, 38, 
2021/3/13, 42, 
2021/3/14, 55, 
2021/3/15, 51, 
2021/3/16, 27, 
2021/3/17, 26, 
2021/3/18, 46, 
2021/3/19, 31, 
2021/3/20, 15, 
2021/3/21, 20, 
2021/3/22, 15, 
2021/3/23, 19, 6
2021/3/24, 21, 5
2021/3/25, 22, 7
2021/3/26, 24, 9
2021/3/27, 22, 10
2021/3/28, 24, 47
2021/3/29, 33, 
2021/2/2, 25, 
2021/2/3, 13, 
2021/2/4, 19, 
2021/2/5, 16, 
2021/2/6, 23, 
2021/2/7, 27, 
2021/2/8, 27, 
2021/2/9, 32, 
2021/2/10, 30, 
2021/2/11, 37, 
2021/2/12, 24, 
