Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2020-07-13,240.0,0.0,500.0,240.0,240.0,0,7,,10.0
2020-07-14,240.0,240.0,0.0,500.0,220.0,1,7,18.0,20.0
2020-07-15,0.0,240.0,240.0,0.0,380.0,2,7,22.0,24.0
2020-07-16,0.0,0.0,240.0,240.0,700.0,3,7,21.0,26.0
2020-07-17,620.0,0.0,0.0,240.0,240.0,4,7,21.0,17.0
2020-07-18,560.0,620.0,0.0,0.0,500.0,5,7,18.0,15.0
2020-07-19,660.0,560.0,620.0,0.0,0.0,6,7,20.0,19.0
2020-07-20,140.0,660.0,560.0,620.0,240.0,0,7,26.0,18.0
2020-07-21,120.0,140.0,660.0,560.0,240.0,1,7,24.0,26.0
2020-07-22,120.0,120.0,140.0,660.0,0.0,2,7,24.0,25.0
2020-07-23,240.0,120.0,120.0,140.0,0.0,3,7,25.0,25.0
2020-07-24,620.0,240.0,120.0,120.0,620.0,4,7,15.0,25.0
2020-07-25,400.0,620.0,240.0,120.0,560.0,5,7,16.0,22.0
2020-07-26,400.0,400.0,620.0,240.0,660.0,6,7,21.0,16.0
2020-07-27,140.0,400.0,400.0,620.0,140.0,0,7,23.0,24.0
2020-07-28,80.0,140.0,400.0,400.0,120.0,1,7,27.0,36.0
2020-07-29,440.0,80.0,140.0,400.0,120.0,2,7,40.0,30.0
2020-07-30,440.0,440.0,80.0,140.0,240.0,3,7,36.0,30.0
2020-07-31,1160.0,440.0,440.0,80.0,620.0,4,7,43.0,32.0
2020-08-01,600.0,1160.0,440.0,440.0,400.0,5,8,45.0,28.0
2020-08-02,440.0,600.0,1160.0,440.0,400.0,6,8,36.0,17.0
2020-08-03,600.0,440.0,600.0,1160.0,140.0,0,8,25.0,23.0
2020-08-04,660.0,600.0,440.0,600.0,80.0,1,8,26.0,30.0
2020-08-05,400.0,660.0,600.0,440.0,440.0,2,8,38.0,28.0
2020-08-06,820.0,400.0,660.0,600.0,440.0,3,8,38.0,40.0
2020-08-07,740.0,820.0,400.0,660.0,1160.0,4,8,32.0,13.0
2020-08-08,380.0,740.0,820.0,400.0,600.0,5,8,16.0,16.0
